"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51379","EXCE9IF2","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","75771","NLD62BRAPO2","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","35323","LO920011605GFT","Captura de preços","2026-09-22","passed","2026-09-22","","LA","",""
"","59475","EXME3HP2","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","50647","UXX1504VANPTAB","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","60012","4000057252","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","105316","BRBRO85MKANA1","Captura de preços","2026-09-22","passed","2026-09-22","","BD","",""
"","83051","1QMHP27S11","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","87362","2147456060","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","60827","WANA2390PTO2","Captura de preços","2026-09-22","passed","2026-09-22","","LA","",""
"","101443","PANNST67LSR2","Captura de preços","2026-09-22","passed","2026-09-22","","LA","",""
"","57947","EXIM7B1","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","50478","HH100Q7QGPTOB","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","28669","1QPPG70SPIX1","Captura de preços","2026-09-22","failed","2026-09-22","","BD","",""
"","82282","EXLS08E1","Captura de preços","2026-09-22","passed","2026-09-22","","BD","",""
"","70579","0K41332506AZL1","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","33785","EXCJYE12FB1","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","48436","LGOLED55C6PTOB","Captura de preços","2026-09-22","passed","2026-09-22","","LA","",""
"","62875","EXEAF45PTO2","Captura de preços","2026-09-22","passed","2026-09-22","","LA","",""
"","45816","L282NS0002CNZB","Captura de preços","2026-09-22","passed","2026-09-22","","BD","",""
"","96442","1QMDWEF1034CS1","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","70059","BRBLF08BSANA1","Captura de preços","2026-09-22","passed","2026-09-22","","BD","",""
"","37240","EXKE5XCB","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","77877","EXME41X2","Captura de preços","2026-09-22","passed","2026-09-22","","LA","",""
"","45979","WADST5040PTO1","Captura de preços","2026-09-22","passed","2026-09-22","","LA","",""
"","37509","LO91000693GFT","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","50069","JBLPBENC22PTOB","Captura de preços","2026-09-22","passed","2026-09-22","","BD","",""
"","82431","BRBLF62AP2","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","55440","EXFE5GBB","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","54967","WARI2242PTO1","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","45853","EXOE8GH2","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","35776","EXOE9XS2","Captura de preços","2026-09-22","passed","2026-09-22","","BD","",""
"","35049","A6B0FBHRZ9BCOB","Captura de preços","2026-09-22","passed","2026-09-22","","LA","",""
"","47953","HH65Q6QVPTOB","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","63459","WAHR73049PTO2","Captura de preços","2026-09-22","passed","2026-09-22","","LA","",""
"","59217","EXEFS40CNZ2","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","105019","EXPCC20IX2","Captura de preços","2026-09-22","passed","2026-09-22","","BD","",""
"","72233","BRBLF08BSANA2","Captura de preços","2026-09-22","passed","2026-09-22","","BD","",""
"","36412","EXCJYE18FB1","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","42955","LO91000745GFT","Captura de preços","2026-09-22","passed","2026-09-22","","LA","",""
"","51429","TK55P7LPTOB","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","69824","LG43NU85PTOB","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","36268","TK85P8LPTOB","Captura de preços","2026-09-22","passed","2026-09-22","","LA","",""
"","33977","3L71465PTO","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","88634","COCZD12MT1","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","93102","EXEBL1500CNZ1","Captura de preços","2026-09-22","passed","2026-09-22","","IN","",""
"","36993","JBLLIVEBE4PTOB","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","34396","EXESM03PTO","Captura de preços","2026-09-22","passed","2026-09-22","","LA","",""
"","69212","KIKEA30CVPNA","Captura de preços","2026-09-22","passed","2026-09-22","","UT","",""
"","64269","EXLFC121","Captura de preços","2026-09-22","passed","2026-09-22","","BD","",""
